name;address;town;insee_code;postal_code;postal_code;type;longitude;latitude
"Aire de covoiturage Breizh-Izel";"RD33 - RD33A";CAVAN;22034;;22140;"Aire de covoiturage";-3.337959874
"Porte de La Rigourdiére";"La Rigourdiére";CESSON-SÉVIGNÉ;35051;01400;35510;Parking;-1.575827917
Vaux;"Porte des Longchamps";CESSON-SÉVIGNÉ;35051;;35510;"Aire de covoiturage";-1.62801740990287
Fontenay;"Rond point pôle sud";CHARTRES-DE-BRETAGNE;35066;;35131;"Aire de covoiturage";-1.69539899908647
"Ruisseau de l'Illet";"D97 sortie de bourg";CHASNÉ-SUR-ILLET;35067;;35250;"Aire de covoiturage";-1.560318985275
"Ruisseau de l'Illet";"D97 sortie de bourg";CHASNÉ-SUR-ILLET;35067;;35250;"Aire de covoiturage";-1.560318985275
"La Goulgatière";"Allée du vent d'Autan";CHÂTEAUBOURG;35068;;35220;"Aire de covoiturage";-1.41020880689733
"Parking de l'étang 1";"Boulevard du château";CHATEAUGIRON;35069;;35410;"Aire de covoiturage";-1.49922800136314
"La Cigogne";"Châteaugiron - Bel Air";CHATEAUGIRON;35069;;35410;"Aire de covoiturage";-1.48999599958178
Univer;"Route de Vern-sur-Seiche";CHATEAUGIRON;35069;;35410;"Aire de covoiturage";-1.51755167793159
"Parking de l'étang 2";;CHATEAUGIRON;35069;;35410;"Aire de covoiturage";-1.50109396776481
"Aire de covoiturage Le Pouillot";"Kroas Hent. 29150 Chateaulin";CHATEAULIN;29026;29150;29150;"Aire de covoiturage";-4.050687921
"Aire de covoiturage Kroas Lesneven";"78 ZI de Kroaz Lesneven. 29520 Chéteauneuf-du-Faou";CHATEAUNEUF-DU-FAOU;29027;29520;29520;"Aire de covoiturage";-3.822061995
"Echangeur N24";"Echangeur N24 (D334xD288)";CHAVAGNE;35076;;35310;"Aire de covoiturage";-1.79409072545584
"Parking Salle des Fétes";"3 Rue des Cerisiers. 56480 Cléguérec";CLEGUEREC;56041;56480;56480;Parking;-3.073162
"Aire de covoiturage Prat Ar C'Heff";"2 Rue de Cornouaille. 29870 Coat-Méal";"COAT MEAL";29035;29870;29870;"Aire de covoiturage";-4.545870784
L'Angevine;RD795;COMBOURG;35085;;35270;"Aire de covoiturage";-1.75304067563182
"Aire de covoiturage Ti Robin";"D144. 29120 Combrit";COMBRIT;29037;29120;29120;"Aire de covoiturage";-4.191780041
"Aire de covoiturage La Boissiére - Coat Conq";"Rue de la Forge. 29900 Concarneau";CONCARNEAU;29039;29900;29900;"Aire de covoiturage";-3.901725832
"Mairie de Confort-Meilars";"97 Rue Pen ar Bed. 29790 Confort-Meilars";CONFORT-MEILARS;29145;29790;29790;Parking;-4.426988664
"Aire de covoiturage Ster Goz";"18 Rue de Quimper. 29370 Coray";CORAY;29041;29370;29370;"Aire de covoiturage";-3.833272568
"La Lande du feu";"La Lande du feu";CORPS-NUDS;35088;;35150;"Aire de covoiturage";-1.56062840030398
"Aire de covoiturage L'Hétellerie";"RD 794";CORSEUL;22048;;22130;"Aire de covoiturage";-2.15879366
"Aire de covoiturage de Toul Garros";"38 Rue de Bretagne. 56950 Crac'h";CRACH;56046;56950;56950;"Aire de covoiturage";-3.016363
"Aire de covoiturage de Toul Garros Sud";"D768. 56950 Crac'h";CRACH;56046;56950;56950;"Aire de covoiturage";-3.015885
"Parking Intermarché";"Kerdreven. 56950 Crac'h";CRACH;56046;56950;56950;Supermarché;-2.995739
"Aire de covoiturage de Poulben";"Sclegen. 56950 Crac'h";CRACH;56046;56950;56950;"Aire de covoiturage";-2.985122
"Rue Bernard Picoult";"Rue Bernard Picoult";CREVIN;35090;;35320;"Aire de covoiturage";-1.66636511370342
"Aire de covoiturage Tal Ar Groas";"1 Route de l'Aber. 29160 Crozon";CROZON;29042;29160;29160;"Aire de covoiturage";-4.418959835
"Aire de covoiturage Moulin des Salles";"31 Route de Brest. 29460 Daoulas";DAOULAS;29043;29460;29460;"Aire de covoiturage";-4.257678045
"Rue des Elfes";"Rue des Elfes";DINARD;35093;;35800;"Aire de covoiturage";-2.05993700011187
DOL-DE-BRETAGNE;"Avenue de la Baie";DOL-DE-BRETAGNE;35095;;35120;"Aire de covoiturage";-1.72571389997891
"Rue des Genêts";"Rue des Genêts";DOMALAIN;35097;;35680;"Aire de covoiturage";-1.23679611672537
"Le Giffart";"Impasse du Giffard";DOMLOUP;35099;;35410;"Aire de covoiturage";-1.52604110220217
"Aire de covoiturage de Domloup";"Route de Vern-sur-Seiche";DOMLOUP;35099;;35410;"Aire de covoiturage";-1.519964825
"Salle des fêtes";;DOURDAIN;35101;;35450;"Aire de covoiturage";-1.36891988446051
"Salle des fêtes";;DOURDAIN;35101;;35450;"Aire de covoiturage";-1.36891988446051
"Aire de covoiturage de Lamboux";"D183. 56250 Elven";ELVEN;56053;56250;56250;"Aire de covoiturage";-2.585174
"Aire de covoiturage de Kerchoux";"Kerchoux. 56250 Elven";ELVEN;56053;56250;56250;"Aire de covoiturage";-2.551228
"Aire de covoiturage de Le Penrho";"Morigo. 56250 Treffléan";ELVEN;56053;56250;56250;"Aire de covoiturage";-2.5755
"La Lande";"Echangeur D111 - N157";ERBRÉE;35105;;35500;"Aire de covoiturage";-1.10814497866262
"Salle de sport";"Rue de la croix de l'écu";ERCÉ-PRÈS-LIFFRÉ;35107;;35340;"Aire de covoiturage";-1.51183166727924
"Salle de sport";"Rue de la croix de l'écu";ERCÉ-PRÈS-LIFFRÉ;35107;;35340;"Aire de covoiturage";-1.51183166727924
Piquet;Piquet;ÉTRELLES;35109;;35370;"Aire de covoiturage";-1.19945799515191
Cimetiere;"1 Bellevue";GOSNÉ;35121;;35140;"Aire de covoiturage";48.244639
"Aire de covoiturage Le Carpont";"5 Rue de Kerdidrun. 29850 Gouesnou";GOUESNOU;29061;29850;29850;"Aire de covoiturage";-4.461762586
"Place du Général de Gaulle";"10 Impasse Bob Gestin. 56110 Gourin";GOURIN;56066;56110;56110;Parking;-3.599405
"Aire de covoiturage de Kerbos";"678 Fretezach. 56110 Gourin";GOURIN;56066;56110;56110;"Aire de covoiturage";-3.629214
"La Corbière";35123;GOVEN;35123;35123;35123;"Aire de covoiturage";-1.78222536809566
"Parking La Corbiére";"La Corbiére";GOVEN;35123;01400;35580;Parking;-1.782343333
"Les Terres";"Les Terres";GOVEN;35123;;35580;"Aire de covoiturage";-1.8129657980926
"La Lizardais";"PA La Lizardais";GRAND-FOUGERAY;35124;;35390;"Aire de covoiturage";-1.73339499898347
"Les 4 routes";"ZA Les 4 routes";GRAND-FOUGERAY;35124;;35390;"Aire de covoiturage";-1.71728666558017
"Aire de covoiturage de Val Coric";"331 La Bonde. 56380 Guer";GUER;56075;56380;56380;"Aire de covoiturage";-2.12752
"La Courtinais";"La Courtinais";GUICHEN;35126;;35580;"Aire de covoiturage";-1.81483653236647
"Giratoire de la Taupinais";"La Taupinais D38";GUICHEN;35126;;35580;"Aire de covoiturage";-1.82984274075324
"Les Landes";"Les Landes";GUICHEN;35126;;35580;"Aire de covoiturage";-1.81115838112248
Cimetière;"Rue de Redon";GUICHEN;35126;;35580;"Aire de covoiturage";-1.77613135348884
"Aire de covoiturage Kermat";"Route de Kermat. 29410 Guiclan";GUICLAN;29068;29410;29410;"Aire de covoiturage";-3.989414044
"Aire de covoiturage de L'Estran";"9 Place de l'Arbre d'Or. 56520 Guidel";GUIDEL;56078;56520;56520;"Aire de covoiturage";-3.487474
"Aire de covoiturage de Pen Mané";"Zone Artisanale de Pen Mané. 56520 Guidel";GUIDEL;56078;56520;56520;"Aire de covoiturage";-3.460196
"La Courtinière";;GUIGNEN;35127;;35580;"Aire de covoiturage";-1.85380369245236
"Aire de covoiturage Ty Colo";"29820. D67. Guilers";GUILERS;29069;29820;29820;"Aire de covoiturage";-4.598634806
"Aire de covoiturage de La Belle Allouette";"D123. 56800 Guillac";GUILLAC;56079;56800;56800;"Aire de covoiturage";-2.499134
"Aire de covoiturage de La Pyramide";"N24. 56800 Guillac";GUILLAC;56079;56800;56800;"Aire de covoiturage";-2.483644
"Aire de covoiturage Guimiliau centre";"11 rue du Calvaire. 29400 Guimiliau";GUIMILIAU;29074;29400;29400;"Aire de covoiturage";-4.000509
"Aire de covoiturage Froutven";"105 Rue Pierre Jakez Helias. 29490 Guipavas";GUIPAVAS;29075;29490;29490;"Aire de covoiturage";-4.43966825
"Aire de covoiturage Penn Ar Forest";"penn ar forest";GUIPAVAS;29075;;29490;"Aire de covoiturage";-4.363309449
"La Plousière";"La Plousière";GUIPEL;35128;;35440;"Aire de covoiturage";-1.7183898452883
"Rue de Rennes";"Rue de Rennes";GUIPEL;35128;;35440;"Aire de covoiturage";-1.72057523779305
"Z.I Courbouton";"Z.I Coubouton";GUIPRY-MESSAC;35176;;35480;"Aire de covoiturage";-1.90697156369629
"Aire de covoiturage Botcabeur";"Route de Botcabeur. 29460 Hanvec";HANVEC;29078;29460;29460;"Aire de covoiturage";-4.155742952
"Aire de covoiturage Pont de La Corde";"14 Rue Jacques Guéguen. 29670 Henvic";HENVIC;29079;29670;29670;"Aire de covoiturage";-3.947920847
"Aire de covoiturage Saint René";"échangeur de Saint René RD 786 - RN 12";HILLION;22081;;22120;"Aire de covoiturage";-2.645109417
Cimetière;D155;HIREL;35132;;35120;"Aire de covoiturage";-1.79802972162714
"Aire de covoiturage Menez Bras";"D14. 29690 Plouyé";HUELGOAT;29081;29690;29690;"Aire de covoiturage";-3.750106041
"Les 4 routes";"Les 4 routes";IFFENDIC;35133;;35750;"Aire de covoiturage";-1.99768638870184
"Rue du lavoir";"Rue du lavoir";IRODOUËR;35135;;35850;"Aire de covoiturage";-1.9509383336427
"Aire de covoiturage Janzé Nord";"Le Hardier";JANZÉ;35136;;35150;"Aire de covoiturage";-1.537484
"Le Hardier";"ZA le bois du teillay";JANZÉ;35136;;35150;"Aire de covoiturage";-1.53536158800324
