name,address,gps_lat,gps_lng,town_name,type
Univer,"Route de Vern-sur-Seiche",48.0426993324452,-1.51755167793159,Chateaugiron,"Aire de covoiturage"
"Parking de l'étang 2",,48.049716919548,-1.50109396776481,Chateaugiron,"Aire de covoiturage"
"Aire de covoiturage Le Pouillot","Kroas Hent. 29150 Chateaulin",48.21589432,-4.050687921,Chateaulin,"Aire de covoiturage"
"Aire de covoiturage Kroas Lesneven","78 ZI de Kroaz Lesneven. 29520 Chéteauneuf-du-Faou",48.20233433,-3.822061995,Chateauneuf-Du-Faou,"Aire de covoiturage"
"Echangeur N24","Echangeur N24 (D334xD288)",48.0772300087276,-1.79409072545584,Chavagne,"Aire de covoiturage"
"Parking Salle des Fétes","3 Rue des Cerisiers. 56480 Cléguérec",48.125051,-3.073162,Cleguerec,Parking
"Aire de covoiturage Prat Ar C'Heff","2 Rue de Cornouaille. 29870 Coat-Méal",48.50609265,-4.545870784,"Coat Meal","Aire de covoiturage"
L'Angevine,RD795,48.4040035454711,-1.75304067563182,Combourg,"Aire de covoiturage"
"Aire de covoiturage Ti Robin","D144. 29120 Combrit",47.90848155,-4.191780041,Combrit,"Aire de covoiturage"
"Aire de covoiturage La Boissiére - Coat Conq","Rue de la Forge. 29900 Concarneau",47.92190062,-3.901725832,Concarneau,"Aire de covoiturage"
"Mairie de Confort-Meilars","97 Rue Pen ar Bed. 29790 Confort-Meilars",48.05100334,-4.426988664,Confort-Meilars,Parking
"Aire de covoiturage Ster Goz","18 Rue de Quimper. 29370 Coray",48.05859023,-3.833272568,Coray,"Aire de covoiturage"
"La Lande du feu","La Lande du feu",47.9773812706605,-1.56062840030398,Corps-Nuds,"Aire de covoiturage"
"Aire de covoiturage L'Hétellerie","RD 794",48.47933323,-2.15879366,Corseul,"Aire de covoiturage"
"Aire de covoiturage de Toul Garros","38 Rue de Bretagne. 56950 Crac'h",47.667165,-3.016363,Crach,"Aire de covoiturage"
"Aire de covoiturage de Toul Garros Sud","D768. 56950 Crac'h",47.659903,-3.015885,Crach,"Aire de covoiturage"
"Parking Intermarché","Kerdreven. 56950 Crac'h",47.604518,-2.995739,Crach,Supermarché
"Aire de covoiturage de Poulben","Sclegen. 56950 Crac'h",47.649169,-2.985122,Crach,"Aire de covoiturage"
"Rue Bernard Picoult","Rue Bernard Picoult",47.9374553014561,-1.66636511370342,Crevin,"Aire de covoiturage"
"Aire de covoiturage Tal Ar Groas","1 Route de l'Aber. 29160 Crozon",48.24805282,-4.418959835,Crozon,"Aire de covoiturage"
"Aire de covoiturage Moulin des Salles","31 Route de Brest. 29460 Daoulas",48.36654658,-4.257678045,Daoulas,"Aire de covoiturage"
"Rue des Elfes","Rue des Elfes",48.6201650826191,-2.05993700011187,Dinard,"Aire de covoiturage"
DOL-DE-BRETAGNE,"Avenue de la Baie",48.5495118581635,-1.72571389997891,Dol-De-Bretagne,"Aire de covoiturage"
"Rue des Genêts","Rue des Genêts",47.9981107006928,-1.23679611672537,Domalain,"Aire de covoiturage"
"Le Giffart","Impasse du Giffard",48.0572010897975,-1.52604110220217,Domloup,"Aire de covoiturage"
"Aire de covoiturage de Domloup","Route de Vern-sur-Seiche",48.04113105,-1.519964825,Domloup,"Aire de covoiturage"
"Salle des fêtes",,48.1940040578812,-1.36891988446051,Dourdain,"Aire de covoiturage"
"Salle des fêtes",,48.1940040578812,-1.36891988446051,Dourdain,"Aire de covoiturage"
"Aire de covoiturage de Lamboux","D183. 56250 Elven",47.724598,-2.585174,Elven,"Aire de covoiturage"
"Aire de covoiturage de Kerchoux","Kerchoux. 56250 Elven",47.753053,-2.551228,Elven,"Aire de covoiturage"
"Aire de covoiturage de Le Penrho","Morigo. 56250 Treffléan",47.691595,-2.5755,Elven,"Aire de covoiturage"
"La Lande","Echangeur D111 - N157",48.0893385491454,-1.10814497866262,Erbrée,"Aire de covoiturage"
"Salle de sport","Rue de la croix de l'écu",48.2524607506157,-1.51183166727924,Ercé-Près-Liffré,"Aire de covoiturage"
"Salle de sport","Rue de la croix de l'écu",48.2524607506157,-1.51183166727924,Ercé-Près-Liffré,"Aire de covoiturage"
Piquet,Piquet,48.0728344155929,-1.19945799515191,Étrelles,"Aire de covoiturage"
Cimetiere,"1 Bellevue",48.244639,48.244639,Gosné,"Aire de covoiturage"
"Aire de covoiturage Le Carpont","5 Rue de Kerdidrun. 29850 Gouesnou",48.44688675,-4.461762586,Gouesnou,"Aire de covoiturage"
"Place du Général de Gaulle","10 Impasse Bob Gestin. 56110 Gourin",48.142491,-3.599405,Gourin,Parking
"Aire de covoiturage de Kerbos","678 Fretezach. 56110 Gourin",48.141134,-3.629214,Gourin,"Aire de covoiturage"
"La Corbière",35123,48.0239960930731,-1.78222536809566,Goven,"Aire de covoiturage"
"Parking La Corbiére","La Corbiére",48.02398167,-1.782343333,Goven,Parking
"Les Terres","Les Terres",47.9906394754271,-1.8129657980926,Goven,"Aire de covoiturage"
"La Lizardais","PA La Lizardais",47.7190667511303,-1.73339499898347,Grand-Fougeray,"Aire de covoiturage"
"Les 4 routes","ZA Les 4 routes",47.7445044169381,-1.71728666558017,Grand-Fougeray,"Aire de covoiturage"
"Aire de covoiturage de Val Coric","331 La Bonde. 56380 Guer",47.929709,-2.12752,Guer,"Aire de covoiturage"
"La Courtinais","La Courtinais",47.9741404809188,-1.81483653236647,Guichen,"Aire de covoiturage"
"Giratoire de la Taupinais","La Taupinais D38",47.9845656875714,-1.82984274075324,Guichen,"Aire de covoiturage"
"Les Landes","Les Landes",47.9593295529337,-1.81115838112248,Guichen,"Aire de covoiturage"
Cimetière,"Rue de Redon",47.9971983437279,-1.77613135348884,Guichen,"Aire de covoiturage"
"Aire de covoiturage Kermat","Route de Kermat. 29410 Guiclan",48.52088518,-3.989414044,Guiclan,"Aire de covoiturage"
"Aire de covoiturage de L'Estran","9 Place de l'Arbre d'Or. 56520 Guidel",47.799319,-3.487474,Guidel,"Aire de covoiturage"
"Aire de covoiturage de Pen Mané","Zone Artisanale de Pen Mané. 56520 Guidel",47.80617,-3.460196,Guidel,"Aire de covoiturage"
"La Courtinière",,47.9211544572429,-1.85380369245236,Guignen,"Aire de covoiturage"
"Aire de covoiturage Ty Colo","29820. D67. Guilers",48.4284774,-4.598634806,Guilers,"Aire de covoiturage"
"Aire de covoiturage de La Belle Allouette","D123. 56800 Guillac",47.93754,-2.499134,Guillac,"Aire de covoiturage"
"Aire de covoiturage de La Pyramide","N24. 56800 Guillac",47.935731,-2.483644,Guillac,"Aire de covoiturage"
"Aire de covoiturage Guimiliau centre","11 rue du Calvaire. 29400 Guimiliau",48.487612,-4.000509,Guimiliau,"Aire de covoiturage"
"Aire de covoiturage Froutven","105 Rue Pierre Jakez Helias. 29490 Guipavas",48.4172813,-4.43966825,Guipavas,"Aire de covoiturage"
"Aire de covoiturage Penn Ar Forest","penn ar forest",48.4567755,-4.363309449,Guipavas,"Aire de covoiturage"
"La Plousière","La Plousière",48.3109359596511,-1.7183898452883,Guipel,"Aire de covoiturage"
"Rue de Rennes","Rue de Rennes",48.2943843610028,-1.72057523779305,Guipel,"Aire de covoiturage"
"Z.I Courbouton","Z.I Coubouton",47.8361577552141,-1.90697156369629,Guipry-Messac,"Aire de covoiturage"
"Aire de covoiturage Botcabeur","Route de Botcabeur. 29460 Hanvec",48.33213615,-4.155742952,Hanvec,"Aire de covoiturage"
"Aire de covoiturage Pont de La Corde","14 Rue Jacques Guéguen. 29670 Henvic",48.64531888,-3.947920847,Henvic,"Aire de covoiturage"
"Aire de covoiturage Saint René","échangeur de Saint René RD 786 - RN 12",48.48046202,-2.645109417,Hillion,"Aire de covoiturage"
Cimetière,D155,48.6064472879447,-1.79802972162714,Hirel,"Aire de covoiturage"
"Aire de covoiturage Menez Bras","D14. 29690 Plouyé",48.34839447,-3.750106041,Huelgoat,"Aire de covoiturage"
"Les 4 routes","Les 4 routes",48.091902811892,-1.99768638870184,Iffendic,"Aire de covoiturage"
"Rue du lavoir","Rue du lavoir",48.2499584972596,-1.9509383336427,Irodouër,"Aire de covoiturage"
"Aire de covoiturage Janzé Nord","Le Hardier",47.971483,-1.537484,Janzé,"Aire de covoiturage"
"Le Hardier","ZA le bois du teillay",47.9715840022118,-1.53536158800324,Janzé,"Aire de covoiturage"
"L'Aubinière Janzé Nord","Rue Jean-Marie Lacire",47.967827819154,-1.48840769717552,Janzé,"Aire de covoiturage"
"Champs-Blancs Janzé Est","sortie D41 Rd point D777",47.9507647822987,-1.48775895020323,Janzé,"Aire de covoiturage"
