name;address;town;insee_code;postal_code;type;longitude;latitude
Ruisseau de l'Illet;D97 sortie de bourg;CHASNÉ-SUR-ILLET;35067;35250;Aire de covoiturage;-1.560318985275;48.2430930396079
La Goulgatière;Allée du vent d'Autan;CHÂTEAUBOURG;35068;35220;Aire de covoiturage;-1.41020880689733;48.1044908589803
Parking de l'étang 1;Boulevard du château;CHATEAUGIRON;35069;35410;Aire de covoiturage;-1.49922800136314;48.0502730873843
La Cigogne;Châteaugiron - Bel Air;CHATEAUGIRON;35069;35410;Aire de covoiturage;-1.48999599958178;48.0379255014265
Univer;Route de Vern-sur-Seiche;CHATEAUGIRON;35069;35410;Aire de covoiturage;-1.51755167793159;48.0426993324452
Parking de l'étang 2;;CHATEAUGIRON;35069;35410;Aire de covoiturage;-1.50109396776481;48.049716919548
Aire de covoiturage Le Pouillot;Kroas Hent. 29150 Chateaulin;CHATEAULIN;29026;29150;Aire de covoiturage;-4.050687921;48.21589432
Aire de covoiturage Kroas Lesneven;78 ZI de Kroaz Lesneven. 29520 Chéteauneuf-du-Faou;CHATEAUNEUF-DU-FAOU;29027;29520;Aire de covoiturage;-3.822061995;48.20233433
Echangeur N24;Echangeur N24 (D334xD288);CHAVAGNE;35076;35310;Aire de covoiturage;-1.79409072545584;48.0772300087276
Parking Salle des Fétes;3 Rue des Cerisiers. 56480 Cléguérec;CLEGUEREC;56041;56480;Parking;-3.073162;48.125051
Aire de covoiturage Prat Ar C'Heff;2 Rue de Cornouaille. 29870 Coat-Méal;COAT MEAL;29035;29870;Aire de covoiturage;-4.545870784;48.50609265
L'Angevine;RD795;COMBOURG;35085;35270;Aire de covoiturage;-1.75304067563182;48.4040035454711
Aire de covoiturage Ti Robin;D144. 29120 Combrit;COMBRIT;29037;29120;Aire de covoiturage;-4.191780041;47.90848155
Aire de covoiturage La Boissiére - Coat Conq;Rue de la Forge. 29900 Concarneau;CONCARNEAU;29039;29900;Aire de covoiturage;-3.901725832;47.92190062
Mairie de Confort-Meilars;97 Rue Pen ar Bed. 29790 Confort-Meilars;CONFORT-MEILARS;29145;29790;Parking;-4.426988664;48.05100334
Aire de covoiturage Ster Goz;18 Rue de Quimper. 29370 Coray;CORAY;29041;29370;Aire de covoiturage;-3.833272568;48.05859023
La Lande du feu;La Lande du feu;CORPS-NUDS;35088;35150;Aire de covoiturage;-1.56062840030398;47.9773812706605
Aire de covoiturage L'Hétellerie;RD 794;CORSEUL;22048;22130;Aire de covoiturage;-2.15879366;48.47933323
Aire de covoiturage de Toul Garros;38 Rue de Bretagne. 56950 Crac'h;CRACH;56046;56950;Aire de covoiturage;-3.016363;47.667165
Aire de covoiturage de Toul Garros Sud;D768. 56950 Crac'h;CRACH;56046;56950;Aire de covoiturage;-3.015885;47.659903
Parking Intermarché;Kerdreven. 56950 Crac'h;CRACH;56046;56950;Supermarché;-2.995739;47.604518
Aire de covoiturage de Poulben;Sclegen. 56950 Crac'h;CRACH;56046;56950;Aire de covoiturage;-2.985122;47.649169
Rue Bernard Picoult;Rue Bernard Picoult;CREVIN;35090;35320;Aire de covoiturage;-1.66636511370342;47.9374553014561
Aire de covoiturage Tal Ar Groas;1 Route de l'Aber. 29160 Crozon;CROZON;29042;29160;Aire de covoiturage;-4.418959835;48.24805282
Aire de covoiturage Moulin des Salles;31 Route de Brest. 29460 Daoulas;DAOULAS;29043;29460;Aire de covoiturage;-4.257678045;48.36654658
Rue des Elfes;Rue des Elfes;DINARD;35093;35800;Aire de covoiturage;-2.05993700011187;48.6201650826191
DOL-DE-BRETAGNE;Avenue de la Baie;DOL-DE-BRETAGNE;35095;35120;Aire de covoiturage;-1.72571389997891;48.5495118581635
Rue des Genêts;Rue des Genêts;DOMALAIN;35097;35680;Aire de covoiturage;-1.23679611672537;47.9981107006928
Le Giffart;Impasse du Giffard;DOMLOUP;35099;35410;Aire de covoiturage;-1.52604110220217;48.0572010897975
Aire de covoiturage de Domloup;Route de Vern-sur-Seiche;DOMLOUP;35099;35410;Aire de covoiturage;-1.519964825;48.04113105
Salle des fêtes;;DOURDAIN;35101;35450;Aire de covoiturage;-1.36891988446051;48.1940040578812
Salle des fêtes;;DOURDAIN;35101;35450;Aire de covoiturage;-1.36891988446051;48.1940040578812
Aire de covoiturage de Lamboux;D183. 56250 Elven;ELVEN;56053;56250;Aire de covoiturage;-2.585174;47.724598
Aire de covoiturage de Kerchoux;Kerchoux. 56250 Elven;ELVEN;56053;56250;Aire de covoiturage;-2.551228;47.753053
