name,postal_code,insee_code,latitude,longitude
Landevennec,29560,29104,48.26220635,-4.333813993
Landivisiau,29400,29105,48.51538192,-4.051675766
Lanester,56600,56098,47.777579,-3.343389
Langouet,35630,35146,48.2480027822452,-1.82256251638921
Lannion,22300,22113,48.72429683,-3.430629822
Lanvollon,22290,22121,48.63465909,-2.976688639
Lassy,35580,35149,47.968165700495,-1.86796315620161
"Le Faou",29590,29053,48.29862009,-4.167873871
"Le Ferre",35420,35111,48.49159599,-1.293845397
"Le Folgoet",29260,29055,48.55992862,-4.33850186
"Le Guerno",56190,56077,47.572911,-2.404357
"Le Hezo",56450,56084,47.581918,-2.694201
"Le Quiou",22630,22263,48.3568876092191,-2.00724548541814
"Le Relecq-kerhuon",29480,29235,48.39871002,-4.407923978
"Le Rheu",35650,35240,48.0959200374835,-1.76556013063563
"Le Theil-de-bretagne",35240,35333,47.90948,-1.396523667
"Le Tour-du-parc",56370,56252,47.523953,-2.650718
LÉcousse,35133,35150,48.3512940494858,-1.23311744375032
Lennon,29190,29123,48.20781075,-3.902552406
"Les Moulins",22210,22183,48.18776095,-2.59100542
LiffrÉ,35340,35152,48.2198381691332,-1.49582366618066
Lizio,56460,56112,47.873391,-2.4944
Locmaria-grand-champ,56390,56115,47.760145,-2.848733
Locmine,56500,56117,47.878301,-2.828877
LohÉac,35550,35155,47.8630869857101,-1.88101412766708
Loperhet,29470,29140,48.38286825,-4.307951837
LoudÉac,22600,22136,48.16846279,-2.735771957
LouvignÉ-du-dÉsert,35420,35162,48.4813123,-1.125030626
Loyat,56800,56122,47.975316,-2.379918
"Maen Roch",35460,35257,48.3997816853209,-1.31243028894358
Malansac,56220,56123,47.670036,-2.300409
Martigne-ferchaud,35640,35167,47.8201144600246,-1.32166233409256
Matignon,22550,22143,48.59213544,-2.296072962
Maure-de-bretagne,35330,35168,47.9085381690682,-1.9911113350743
Mauron,56430,56127,48.079882,-2.271058
Maxent,35380,35169,47.9823578974396,-2.03042301192006
Melesse,35520,35173,48.2196439130764,-1.69770433916455
Melgven,29140,29146,47.88913267,-3.800855592
Melle,35420,35174,48.4884238023017,-1.18793889504592
Meneac,56490,56129,48.137281,-2.463628
Milizac,29290,29149,48.46307683,-4.562064728
Miniac-morvan,35540,35179,48.5312607537301,-1.91460933166711
MoËlan-sur-mer,29350,29150,47.81168887,-3.631399288
Montauban-de-bretagne,35360,35184,48.2052820828051,-2.04743866675572
Montreuil-des-landes,35210,35192,48.2477201779127,-1.22416046819579
MouazÉ,35250,35197,48.2095991129775,-1.62444947139616
Moulins,35680,35198,48.0019845301957,-1.37190399623665
"Mur De Bretagne",22530,22158,48.19808245,-2.989523491
Muzillac,56190,56143,47.558568,-2.501261
Nivillac,56130,56147,47.525974,-2.303977
"Noya- Pontivy",56920,56151,48.054378,-2.941609
Noyal-chÂtillon-sur-seiche,35230,35206,48.0390009762016,-1.68343790083127
Noyal-sur-vilaine,35530,35207,48.1110706956896,-1.52818191449501
PacÉ,35590,35210,48.15278333,-1.808701333
Paimpol,22500,22162,48.76188831,-3.041335092
Paimpont,35380,35211,48.0169593833885,-2.16960717226744
Peaule,56130,56153,47.579242,-2.361207
Pipriac,35550,35219,47.8163692467306,-1.91846850286215
PirÉ-sur-seiche,35150,35220,48.0236678586756,-1.39939148093098
Plabennec,29860,29160,48.49801446,-4.430842377
